timestamp,asset_id,duration,protocol_type,service,flag,src_bytes,dst_bytes,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,count,srv_count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_serror_rate,threat_category,is_attack
2026-01-01 00:00:00,SIG-039,1,tcp,smtp,SF,1019,336,0,0,0,0,1,0,1,3,0.0,0.0,1.0,0.0,101,243,0.96,0.0,Normal Operation,0
2026-01-01 00:03:00,SIG-029,0,tcp,ftp_data,SF,209,0,0,0,0,0,1,0,1,1,0.0,0.0,1.0,0.0,15,98,0.27,0.0,Normal Operation,0
2026-01-01 00:06:00,SIG-015,0,tcp,http,SF,176,1533,0,0,0,0,1,0,6,6,0.0,0.0,1.0,0.0,73,255,1.0,0.0,Normal Operation,0
2026-01-01 00:09:00,SIG-043,0,tcp,ftp_data,SF,7321,0,0,0,0,0,1,0,1,1,0.0,0.0,1.0,0.0,101,93,0.28,0.0,Normal Operation,0
2026-01-01 00:12:00,SIG-008,0,icmp,eco_i,SF,8,0,0,0,0,0,0,0,1,42,0.0,0.0,1.0,0.0,1,39,1.0,0.0,Reconnaissance / Network Scanning,1
2026-01-01 00:15:00,SIG-021,0,udp,domain_u,SF,45,75,0,0,0,0,0,0,318,317,0.0,0.0,1.0,0.01,255,254,1.0,0.0,Normal Operation,0
2026-01-01 00:18:00,SIG-039,1464,udp,other,SF,147,105,0,0,0,0,0,0,7,1,0.0,0.0,0.14,0.57,255,3,0.01,0.0,Normal Operation,0
2026-01-01 00:21:00,SIG-019,1545,udp,other,SF,147,105,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0,255,1,0.0,0.0,Normal Operation,0
2026-01-01 00:24:00,SIG-023,0,tcp,private,S0,0,0,0,0,0,0,0,0,233,1,1.0,1.0,0.0,0.06,255,1,0.0,1.0,Network Flood / DoS on Signaling Network,1
2026-01-01 00:27:00,SIG-011,3,tcp,finger,SF,6,220,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0,1,4,1.0,0.0,Normal Operation,0
2026-01-01 00:30:00,SIG-011,0,tcp,ftp_data,SF,879,0,0,0,0,0,1,0,10,10,0.0,0.0,1.0,0.0,255,71,0.28,0.68,Normal Operation,0
2026-01-01 00:33:00,SIG-024,0,tcp,http,SF,302,1380,0,0,0,0,1,0,5,5,0.0,0.0,1.0,0.0,255,253,0.99,0.0,Normal Operation,0
2026-01-01 00:36:00,SIG-036,0,tcp,http,SF,327,1516,0,0,0,0,1,0,24,29,0.0,0.0,1.0,0.0,255,255,1.0,0.0,Normal Operation,0
2026-01-01 00:39:00,SIG-040,0,tcp,smtp,S0,0,0,0,0,0,0,0,0,234,1,1.0,1.0,0.0,0.07,255,1,0.0,1.0,Network Flood / DoS on Signaling Network,1
2026-01-01 00:42:00,SIG-024,0,tcp,csnet_ns,S0,0,0,0,0,0,0,0,0,276,16,1.0,1.0,0.06,0.06,255,16,0.06,1.0,Network Flood / DoS on Signaling Network,1
2026-01-01 00:45:00,SIG-003,0,tcp,private,S0,0,0,0,0,0,0,0,0,72,8,1.0,1.0,0.11,0.07,255,5,0.02,1.0,Network Flood / DoS on Signaling Network,1
