segment_id,route,km_marker,rail_temperature_c,vibration_level,track_stress_nm,wear_index_min,track_age_years,traffic_load_trains_per_day,last_inspection_days_ago,defect_detected,infra_risk_score,risk_level
SEG-00001,MAS-CBE,344.4,40.0,2.23,42.8,0,13,105,263,0,32.2,Warning
SEG-00002,TVC-LTT,317.1,44.0,1.4,46.3,3,21,91,206,0,32.6,Warning
SEG-00003,MAS-NZM-2,19.4,31.4,1.92,49.4,5,11,144,169,0,30.6,Warning
SEG-00004,MAS-CBE,291.6,48.8,1.54,39.5,7,3,29,158,0,22.9,Safe
SEG-00005,HYB-MAS,160.2,39.2,1.4,40.0,9,38,86,241,0,38.2,Warning
SEG-00006,MAS-NZM-2,90.6,48.7,1.5,41.9,11,31,160,123,0,33.4,Warning
SEG-00007,MAS-NZM-2,307.6,32.1,2.27,42.4,14,24,58,20,0,30.7,Warning
SEG-00008,MAS-CBE,68.8,48.9,2.09,40.2,16,12,83,56,0,26.1,Safe
SEG-00009,MAS-SBC,331.6,32.3,2.9,28.6,18,27,49,280,0,36.4,Warning
SEG-00010,HYB-MAS,72.0,39.6,3.34,28.0,21,21,151,108,0,30.8,Warning
SEG-00011,MAS-CBE,214.8,49.0,3.57,23.9,24,25,64,140,0,32.7,Warning
SEG-00012,HYB-MAS,78.1,35.1,1.48,44.3,29,30,153,91,0,34.4,Warning
SEG-00013,HYB-MAS,191.0,31.1,1.0,51.1,34,30,35,271,0,40.6,Warning
SEG-00014,MAS-NZM-2,239.4,46.3,3.34,30.0,37,10,41,329,0,34.7,Warning
SEG-00015,TVC-LTT,66.6,42.4,5.05,19.6,40,3,40,210,0,30.6,Warning
SEG-00016,HYB-MAS,182.3,40.7,2.18,48.4,42,13,177,176,0,34.9,Warning
SEG-00017,ERS-MAS,164.2,31.1,0.83,46.6,44,27,43,61,0,32.5,Warning
SEG-00018,MAS-NZM-2,24.9,43.6,1.41,45.6,47,18,83,284,0,36.8,Warning
SEG-00019,MAS-SBC,286.4,34.1,0.8,54.5,50,24,160,3,0,32.8,Warning
SEG-00020,TVC-LTT,117.5,49.4,2.7,32.5,55,14,45,272,0,35.0,Warning
SEG-00021,ERS-MAS,201.1,44.5,1.2,42.7,58,39,117,164,0,40.7,Warning
SEG-00022,ERS-MAS,180.2,44.8,1.64,44.8,63,4,39,9,0,25.7,Safe
SEG-00023,MAS-SBC,179.6,35.4,2.4,30.7,65,16,80,12,0,27.9,Safe
